,rmse,mae,hit_rate@5,hit_rate@10,hit_rate@20,ndcg@5,ndcg@10,ndcg@20,hit_rate@5[ns],hit_rate@10[ns],hit_rate@20[ns],ndcg@5[ns],ndcg@10[ns],ndcg@20[ns],coverage,miuf,ild
ContentBased_ridge_cv,0.7441947982720917,0.5612886077178909,0.042,0.058,0.079,0.029541500899953804,0.03458609873168062,0.03981895859344985,0.226,0.315,0.462,0.15787459379802624,0.18692541255592143,0.22388954585933152,0.28270573423371864,2.9651753921347623,0.6435749533823036
ContentBased_Ridge_Fixed_rerank_a005,0.9308311411943921,0.7218729192852797,0.059,0.098,0.144,0.0435776343201444,0.056027817999314285,0.0675375844493026,0.05,0.094,0.202,0.029521239308296116,0.0434418925376082,0.07026002051767276,0.05677005837243905,0.9396883798641745,0.7167889780917057
BPR,2.328037384918037,2.0565974821810897,0.105,0.147,0.215,0.07206816196241812,0.08554252719649054,0.10250684223470836,0.661,0.782,0.866,0.4952840589814512,0.534773665424903,0.5562485577646432,0.4408835984891839,3.0236323611056095,0.6610516157506333
BPR_Novelty,3.489391087772202,3.3340065922164444,0.117,0.167,0.243,0.08041408081800137,0.09646125372806753,0.11557458932141361,0.625,0.751,0.817,0.46945104243145064,0.5107753561537614,0.5277385187384515,0.3929266338560147,2.6428797848892476,0.6756214536598606
iALS,2.768291943329523,2.577183454121186,0.046,0.078,0.134,0.028280750515196552,0.03835724110380153,0.052259953028990724,0.712,0.857,0.904,0.4848960969437001,0.5321244106778019,0.5442233966123222,0.29850062950669565,1.8786296809318324,0.7247733197042427
UserBased_Pearson_Natif,0.8049292295777682,0.611269921905209,0.013,0.021,0.031,0.010192536065216308,0.01264902009744471,0.01521732594905487,0.115,0.222,0.43,0.06214930336176134,0.09656390695530917,0.14857846603659478,0.17202701156003206,5.229494473742506,0.7359028387310173
UserBased_Jaccard_Natif,0.8216098241780301,0.6267089833772094,0.012,0.023,0.044,0.008440741988597636,0.011824087751567099,0.017260091656901053,0.114,0.22,0.414,0.06298750576220091,0.09681206705931207,0.14504513980999587,0.035481286482774405,4.396075450998357,0.7379805289015063
