,rmse,mae,hit_rate,ndcg,novelty,miuf,ild
baseline_1,1.866448674561883,1.6530338786448542,0.0029806259314456036,0.0006618841530746979,183923.97019374068,7.529591677356194,0.7523744078338882
baseline_2,1.8465318645224544,1.5064374650131171,0.007451564828614009,0.002639034896771978,184022.7228017884,7.532017639309799,0.753321198282907
baseline_3,1.063200280841842,0.8553334791531342,0.0029806259314456036,0.0006618841530746979,183923.97019374068,7.529591677356194,0.7523744078338882
baseline_4,0.9092099753646541,0.7011017304514152,0.06408345752608048,0.02282083635574998,26112.842026825634,3.7837266494313626,0.6907288937917112
UserBased_Manual,0.9857669481736798,0.762112312758048,0.011922503725782414,0.002395597516956176,145704.15797317435,6.971647524241659,0.7176489713701771
LatentFactor,0.8868208408940221,0.6821476810384182,0.046199701937406856,0.01671877955552289,67006.44113263785,5.070470771943638,0.6968044529731288
