,rmse,mae,hit_rate,ndcg@5,ndcg@10,ndcg@20,precision@5,precision@10,precision@20,recall@5,recall@10,recall@20,novelty,coverage,miuf,ild
baseline_1,1.7751811608853871,1.569305112491605,0.008,0.0,0.00031546487678572877,0.0005714229015955443,0.0,0.0001,0.0001,0.0,0.001,0.002,181426.041,0.9871809545610621,6.808876652933409,0.7519005781089438
baseline_2,1.7980714807786902,1.468699365037576,0.006,0.0,0.0006572371827720033,0.0013989365547426513,0.0,0.0002,0.00025,0.0,0.002,0.005,181168.154,0.9860363969325856,6.803961519713057,0.7526391926307363
baseline_3,1.0289604626991233,0.8147798863381571,0.008,0.0,0.00031546487678572877,0.0005714229015955443,0.0,0.0001,0.0001,0.0,0.001,0.002,181426.041,0.9871809545610621,6.808876652933409,0.7519005781089438
baseline_4,0.8174334162798147,0.6225707566168137,0.055,0.011789707498473159,0.014056479781575865,0.016872995192286563,0.0036000000000000008,0.002500000000000001,0.001800000000000001,0.018,0.025,0.036,66332.639,0.18118347258784478,3.719377659628444,0.7043920439754505
UserBased_Manual,0.8898809625012268,0.6852668252023212,0.012,0.0011309297535714575,0.0014642630869047908,0.001979151783450337,0.0004,0.00030000000000000003,0.00025,0.002,0.003,0.005,151742.74,0.22547785280988897,6.044453126449138,0.7647212130822899
LatentFactor,0.8037809601487784,0.6140735679152495,0.02,0.001261859507142915,0.001878354379592625,0.0026156906175621992,0.0004,0.0004,0.00035,0.002,0.004,0.007,155528.967,0.062263934989126704,6.056618345703811,0.7379939669020847
LatentFactorPP,0.8058846951836502,0.6106358074692269,0.053,0.008033784444810075,0.010715374681890698,0.014496221212403083,0.0024,0.0020000000000000005,0.001750000000000001,0.012,0.02,0.035,75130.686,0.17546068444546184,3.9239796550540977,0.7302522502633809
