,rmse,mae,hit_rate@5,hit_rate@10,hit_rate@20,ndcg@5,ndcg@10,ndcg@20,hit_rate@5[ns],hit_rate@10[ns],hit_rate@20[ns],ndcg@5[ns],ndcg@10[ns],ndcg@20[ns],coverage,miuf,ild
UserBased_tuned_cosine_jaccard,0.8329338569851457,0.6345292374854362,0.0,0.003,0.004,0.0,0.0009498282057830432,0.0011944787479012692,0.106,0.211,0.405,0.06461789469196529,0.09808763538123509,0.1465692627494964,0.06695662126588074,6.999377534382006,0.7593358401934284
UserBased_tuned_msd,0.833978773316167,0.6375532384773369,0.0,0.0,0.001,0.0,0.0,0.0002559580248098155,0.119,0.22,0.403,0.06874523561716135,0.10111363007193036,0.14629711436391551,0.05688451413528671,7.111786670409633,0.7522158628448251
UserBased_hidden_gems,0.8382892972127205,0.642116410755059,0.001,0.001,0.001,0.0003868528072345416,0.0003868528072345416,0.0003868528072345416,0.097,0.205,0.389,0.05595372131739083,0.09033166291661002,0.1360732370066382,0.07439624585097859,7.588142979740369,0.7656557268830931
