,rmse,mae,hit_rate@5,hit_rate@10,hit_rate@20,ndcg@5,ndcg@10,ndcg@20,hit_rate@5[ns],hit_rate@10[ns],hit_rate@20[ns],ndcg@5[ns],ndcg@10[ns],ndcg@20[ns],coverage,miuf,ild
LatentFactor,0.8037809601487784,0.6140735679152495,0.002,0.004,0.007,0.001261859507142915,0.001878354379592625,0.0026156906175621992,0.138,0.233,0.382,0.09003208079121842,0.12022423313422423,0.1574830352549795,0.062263934989126704,6.056618345703811,0.7379939669020847
LatentFactorPP,0.8058846951836502,0.6106358074692269,0.012,0.02,0.035,0.008033784444810075,0.010715374681890698,0.014496221212403083,0.202,0.302,0.459,0.13824655451878043,0.17033770362609757,0.21008316026482343,0.17546068444546184,3.9239796550540977,0.7302522502633809
